 ,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3557277650,1.0,8,4,-37.807202000000004,145.0266373,-37.8067615,144.9979966,2915.0,2018-06-01,21:40:24,734.1600000000002,21:52:38,18.39
ID5493184444,2.0,5,1,-37.799276500000005,144.9351244,-37.8205124,144.96604480000002,4351.0,2018-02-04,06:04:35,1158.4800000000012,6:23:53,108.76
ID5481302102,2.0,2,9,-37.810256700000004,144.93847150000002,-38.1109156,144.65417250000002,42611.0,2018-07-20,22:22:57,10199.04,1:12:56,817.97
ID5196068036,2.0,3,2,-37.82250870000001,144.9719268,-37.8151848,144.94501630000002,3190.0,2018-03-27,05:36:39,751.5600000000002,5:49:10,88.84
ID5373128266,2.0,1,6,-37.8188994,144.9549157,-37.773845,144.9836895,6256.0,2018-06-18,23:32:18,1342.2,23:54:40,136.0
ID5607254889,2.0,5,8,-37.803210299999996,144.93564530000003,-37.8158343,145.04645,10100.0,2018-05-22,06:21:26,2863.74,7:09:09,232.72
ID1276445822,0.0,5,8,-37.8063815,144.93770800000001,-37.8158343,145.04645,10068.0,2018-05-27,13:45:00,2866.0200000000004,14:32:46,14.65
ID1125968282,0.0,1,3,-37.799010700000004,144.9541954,-37.8197385,144.970092,2962.0,2018-06-15,13:03:02,799.0199999999999,13:16:21,9.29
ID1639147110,0.0,3,9,-37.8120227,144.98666509999998,-38.1109156,144.65417250000002,45684.0,2018-05-27,15:31:00,10969.08,18:33:49,26.58
ID3145491253,1.0,7,4,-37.8618349,144.90571599999998,-37.8099809,144.9991534,11007.0,2018-05-12,16:00:11,3584.699999999997,16:59:55,30.38
ID3326044956,1.0,8,4,-37.8158343,145.04645,-37.811421700000004,145.0098267,3259.0,2018-07-10,13:44:48,1113.48,14:03:21,16.8
ID1518640322,0.0,6,9,-37.7907967,144.985865,-38.1109156,144.65417250000002,47193.0,2018-05-01,18:46:21,11530.62,21:58:31,23.43
ID1287379853,0.0,5,7,-37.8058221,144.9333802,-37.8618349,144.90571599999998,10889.0,2018-04-23,03:50:59,3491.5200000000004,4:49:10,15.94
ID3249707962,1.0,7,5,-37.8618349,144.90571599999998,-37.802884399999996,144.933945,11157.0,2018-04-21,13:28:17,3461.4599999999987,14:25:58,29.42
ID3186833943,1.0,4,6,-37.799236900000004,145.0042506,-37.7907967,144.985865,3009.0,2018-06-16,06:30:12,861.8399999999998,6:44:33,12.45
ID1425105903,0.0,3,5,-37.8187564,144.9832053,-37.8099614,144.9360533,4916.0,2018-04-01,21:11:01,1156.32,21:30:17,17.09
ID5440332946,2.0,4,1,-37.800553799999996,144.9911639,-37.8138381,144.9368164,6139.0,2018-05-11,09:10:58,1541.1,9:36:39,130.62
ID5234030900,2.0,5,8,-37.801565999999994,144.9386085,-37.8158343,145.04645,11323.0,2018-07-20,10:29:19,3195.360000000001,11:22:34,255.68
ID1442572064,0.0,6,3,-37.773845,144.9836895,-37.8142531,144.9728029,4974.0,2018-02-15,07:41:52,1024.2,7:58:56,4.3
ID3756263614,1.0,3,5,-37.827676200000006,144.984998,-37.807840999999996,144.938431,5384.0,2018-05-26,00:01:54,1507.0200000000002,0:27:01,25.62
ID1734976115,0.0,1,4,-37.811960600000006,144.9594735,-37.810693,145.01109259999998,5165.0,2018-07-16,23:45:28,1285.0799999999995,0:06:53,14.1
ID3864302324,1.0,5,9,-37.8083333,144.9351746,-38.1109156,144.65417250000002,43002.0,2018-06-03,21:03:59,10294.86,23:55:33,64.94
