,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3557277650,1.0,8,4,-37.807202,145.0266373,-37.8067615,144.9979966,2915.0,2018-06-01,21:40:24,734.1600000000001,21:52:38,18.39
ID5493184444,2.0,5,1,-37.7992765,144.9351244,-37.8205124,144.9660448,4351.0,2018-02-04,06:04:35,1158.480000000001,6:23:53,108.76
ID5481302102,2.0,2,9,-37.8102567,144.9384715,-38.1109156,144.6541725,42611.0,2018-07-20,22:22:57,10199.039999999999,1:12:56,817.97
ID5196068036,,3,2,-37.8225087,144.9719268,-37.8151848,144.9450163,3190.0,2018-03-27,05:36:39,751.5600000000001,5:49:10,88.84
ID5373128266,,1,6,-37.8188994,144.9549157,-37.773845,144.9836895,6256.0,2018-06-18,23:32:18,1342.2,23:54:40,136.0
ID5607254889,2.0,5,8,-37.8032103,144.9356453,-37.8158343,145.04645,10100.0,2018-05-22,06:21:26,2863.74,7:09:09,232.72
ID1276445822,0.0,5,8,-37.8063815,144.937708,-37.8158343,145.04645,10068.0,2018-05-27,13:45:00,2866.0200000000004,14:32:46,14.65
ID1125968282,,1,3,-37.7990107,144.9541954,-37.8197385,144.970092,2962.0,2018-06-15,13:03:02,799.0199999999999,13:16:21,9.29
ID1639147110,,3,9,-37.8120227,144.9866651,-38.1109156,144.6541725,45684.0,2018-05-27,15:31:00,10969.08,18:33:49,26.58
ID3145491253,,7,4,-37.8618349,144.905716,-37.8099809,144.9991534,11007.0,2018-05-12,16:00:11,3584.6999999999975,16:59:55,30.38
ID3326044956,,8,4,-37.8158343,145.04645,-37.8114217,145.0098267,3259.0,2018-07-10,13:44:48,1113.48,14:03:21,16.8
ID1518640322,0.0,6,9,-37.7907967,144.985865,-38.1109156,144.6541725,47193.0,2018-05-01,18:46:21,11530.619999999999,21:58:31,23.43
ID1287379853,0.0,5,7,-37.8058221,144.9333802,-37.8618349,144.905716,10889.0,2018-04-23,03:50:59,3491.5200000000004,4:49:10,15.94
ID3249707962,1.0,7,5,-37.8618349,144.905716,-37.8028844,144.933945,11157.0,2018-04-21,13:28:17,3461.4599999999987,14:25:58,29.42
